Name	Description	ModelNumber	SerialNumber
ForcePoint Remote MA Services	MA Services: ForcePoint Remote MA Services One Year Coverage with Unli Phone & Email Support (8x5) & Max of 10 Incidents and Quarterly Healthchecks		
Renewal of ForcePoint Classify	"Renewal of ForcePoint Classify, Classify ForcePoint Classification Powered by Getvisibility SPRT Support Essential"		
ForcePoint Remote MA Services	MA Services: SG-RMASERV-FP8 ForcePoint Remote MA Services: One Year Coverage with Unli Phone & Email Support (8x5) & Max of 10 Incidents and Quarterly Health Checks	SG-RMASERV-FP8	
Microsoft Office Home and Business 2024 All Lng APAC EM Retail Online	Microsoft Office Home and Business 2024 All Lng APAC EM Retail Online ESD (MSEP206604)	MSEP206604	
Microsoft Office Home and Business 2024	Microsoft Office Home and Business 2024 All Lng APAC EM Retail Online ESD (MSEP206604)	MSEP206604	
MS Support - NAV Dynamics NAV 2018	MS Support - NAV Dynamics NAV 2018 Support Services (10 MAN DAYS)		
Webmarshal Service Agreement	Webmarshal Service Agreement (1 Year) 100 User License		
Web-Lic MailMarshal Service Agreement	Web-Lic MailMarshal Service Agreement (1 Year) 100 User License		
Cisco Duo Security Renewal with Sub ID: 1023047	Duo Beyond Cisco Standard Duo Beyond Edition		
Duo Sub Cisco Duo Subscription	Duo Sub Cisco Duo Subscription		
SVS-Duo-Sup-B Cisco Duo Basic Support	SVS-Duo-Sup-B Cisco Duo Basic Support		
MS-Dynamic LIL Microsost DYN365 Business Central Premium	Includes: 20 Full Users  10 Central Team Users		
Omnissa Workspace One Renewal with SID#4142237093	WSU-AWO-12PT0-C1S Omnissa Workspace One Advanced - SAAS - Per User Production Support - 12 Months Prepaid Renewal with SID#4142237093	WSU-AWO-12PT0-C1S	
Omissa HZ8-ADC 10-B1-1Y TLSS-C Omnissa - Horizon 8 Advanced Term with WF For VDI Edition:	Omissa HZ8-ADC 10-B1-1Y TLSS-C Omnissa - Horizon 8 Advanced Term with WF For VDI Edition: 10 Concurrent User Pack for 1 Year Term License; Includes Production Support/Subscription 4117532908	HZ8-ADC 10-B1-1Y TLSS-C 	
MS CFQ7TTC0LDPB 365 Business Standard Null	MS CFQ7TTC0LDPB 365 Business Standard Null	CFQ7TTC0LDPB 	
MS CFQ7TTC0LH3L - Power Automate Per User Plan Null	MS CFQ7TTC0LH3L - Power Automate Per User Plan Null	CFQ7TTC0LH3L 	
