Model Name,Description,Model Number,Serial Number,Quantity,Unit Of Measure,Category,Amount,Condition,Item Type,Vendor,Start Date,End Date,Remarks,Warranty Years,Duration Years,Duration Start Date,Duration End Date,Date Purchased,License Number,Warranty Start Date,Acquisition Type
"Lenovo ThinkStation P2 Tower Gen 2 Ultra 9-285 vPro, 64GBBMemory, 1TBSSD+2TB, RTX A1000 8GB, WIN11PRO",CPU,SGM17115C,SGM17115C,1,Unit,CPU,,Good,Hardware,"Columbia Technologies, Inc.",23/01/2026 11:38,,NULL,,,,,,,,Both
"Lenovo ThinkStation P2 Tower Gen 2 Ultra 9-285 vPro, 64GBBMemory, 1TBSSD+2TB, RTX A1000 8GB, WIN11PRO",CPU,SGM17115C,SGM17115D,1,Unit,CPU,,Good,Hardware,"Columbia Technologies, Inc.",23/01/2026 11:38,,NULL,,,,,,,,Both
"Samsung-65"" UHD Android-13OS, 32G Flash Memory Size, 3,840x2,160 Resolution, 400 NIT, 8MS RESPONSE TIME, 16/7, IR TOUCH TECHNOLOGY, ADS Panel Type, 25% Glass Haze",TV,"Samsung 65"" inch",6RSSH9PY100153,1,Unit,TV,,Good,Hardware,Jump Solutions Inc.,23/01/2026 14:09,,NULL,,,,,,,,Both
HP 151X Black Laserjet Toner Cartridge,Toner Cartridge,N/A2,N/A2,1,Unit,Cartridge,,Good,Hardware,NULL,23/01/2026 14:10,,NULL,,,,,,,,Both
Microsoft Office Home and Business 2024 All Lng APAC EM Retail Online ESD,MS Office,N/A3,N/A3,1,Monthly,License,,Good,Software/License,"Columbia Technologies, Inc.",23/01/2026 14:12,,NULL,,,,,,,,Invoice
Epson LQ-2190 Printer,Dot Matrix Printer,LQ-2190,MK6Y020164,1,Unit,Printer,,Good,Hardware,Microphase Corporation,23/01/2026 14:15,,Printer of FTY. PMPC,,,,,,,,Both
Epson LX-310 Printer,Dot Matrix Printer,LX-310,Q7CYJ52669,1,Unit,Printer,,Good,Hardware,Microphase Corporation,23/01/2026 14:16,,Printer of Cashier Section,,,,,,,,Both
ASUS Zenbeam L2 Smart Portable LED Projector 980 LED Lumens 1080P,Projector,N/A4,S3LIWX000790,1,Unit,Projector,,Good,Hardware,Microphase Corporation,23/01/2026 14:19,,Projector of PDD - Mark Garcia,,,,,,,,Both
Lenovo Keyboard,Keyboard,N/A5,N/A5,1,Piece,Keyboard,,Good,Hardware,"Columbia Technologies, Inc.",23/01/2026 14:21,,NULL,,,,,,,,Both
Lenovo Mouse,Mouse,N/A6,N/A6,1,Unit,mouse,,Good,Hardware,"Columbia Technologies, Inc.",23/01/2026 14:22,,NULL,,,,,,,,Both
HP 110A Black Original Laser Toner Cartridge,Toner Cartridge,N/A7,N/A7,1,Unit,Cartridge,,Good,Hardware,Jump Solutions Inc.,23/01/2026 14:23,,NULL,,,,,,,,Both
"Panasonic LED TV 43""",TV,TH43NS600,N/A8,1,Unit,TV,,Good,Hardware,Fair N' Square,23/01/2026 14:25,,Webinar TV of Sta. Rosa & Pateros Center,,,,,,,,Both
HP Smart Tank 615 AIO Printer,Printer,N/A9,CN58TC419D,1,Unit,Printer,,Good,Hardware,Jump Solutions Inc.,23/01/2026 14:27,,for Isabela Good Health Marketing Corp.,,,,,,,,Both
HP Smart Tank 615 AIO Printer,Printer,N/A9,CN58TC41B5,1,Unit,Printer,,Good,Hardware,Jump Solutions Inc.,23/01/2026 14:27,,for Isabela Good Health Marketing Corp.,,,,,,,,Both
HP M0H50AA Tri-Color GT Printhead,Printhead,N/A9,N/A9,1,Piece,Printhead,,Good,Hardware,"Columbia Technologies, Inc.",23/01/2026 14:29,,NULL,,,,,,,,Both
HP X4E75AA Black Inktank Printhead,Printhead,N/A10,N/A10,1,Piece,Printhead,,Good,Hardware,"Columbia Technologies, Inc.",23/01/2026 14:32,,NULL,,,,,,,,Both
HP Color Laserjet Pro MFP 4303FDW,Printer,N/A11,CNBHT8W044,1,Box,Printer,,Good,Hardware,Jump Solutions Inc.,23/01/2026 14:35,,NULL,,,,,,,,Both
Epson 001 Black Ink,Ink,T673100,N/A11,1,Piece,Ink,,Good,Hardware,Jump Solutions Inc.,23/01/2026 14:39,,NULL,,,,,,,,Both
Epson 001 Cyan Ink,Ink,T673200,N/A12,1,Unit,Ink,,Good,Hardware,Jump Solutions Inc.,23/01/2026 14:40,,NULL,,,,,,,,Both
Epson 001 Magenta Ink,Ink,T673300,N/A13,1,Unit,Ink,,Good,Hardware,Jump Solutions Inc.,23/01/2026 14:41,,NULL,,,,,,,,Both
Epson 001 Yellow Ink,Ink,T673400,N/A14,1,Unit,Ink,,Good,Hardware,Jump Solutions Inc.,23/01/2026 14:42,,NULL,,,,,,,,Both
Epson 001 Light Magenta Ink,Ink,T673600,N/A15,1,Unit,Ink,,Good,Hardware,Jump Solutions Inc.,23/01/2026 14:43,,NULL,,,,,,,,Both
HP GT53 Black Original Ink Bottle,Ink,1VV22AA,N/A16,1,Unit,Ink,,Good,Hardware,"Columbia Technologies, Inc.",23/01/2026 14:45,,NULL,,,,,,,,Both
Epson LQ-2190 Ribbon Cartridge,Ribbon Cartridge,C13S015531 (EPC13S015531),N/A17,1,Unit,Cartridge,,Good,Hardware,"Columbia Technologies, Inc.",23/01/2026 14:46,,NULL,,,,,,,,Both
Sandisk Ultra 32GB USB 3.0 Flashdrive,Flashdrive,SDCZ48032GU46,NULL,1,Unit,Flashdrive,,Good,Hardware,"Columbia Technologies, Inc.",23/01/2026 14:53,,NULL,,,,,03/11/2025,,,Both
Seagate 2TB One Touch PW Hard Disk Black USB3.0,HDD,SGSTKY2000400,NT1D1ST7,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",23/01/2026 14:56,,NULL,,,,,,,,Both
XP Pen Artist Pro 24 Gen 2 165HZ 2.5K Display,Pen,YNZ_HW_285,XL2416NTQ125600594,1,Unit,Pen,,Good,Hardware,Ynzal Marketing Corp.,23/01/2026 16:15,,NULL,,,,,,,,Both
XP Pen Artist Pro 24 Gen 2 165HZ 2.5K Display,Pen,YNZ_HW_285,XL2416NTQ125600581,1,Unit,Pen,,Good,Hardware,Ynzal Marketing Corp.,23/01/2026 16:15,,NULL,,,,,,,,Both
USB Cable,USB Cable,N/A18,N/A18,1,Unit,Cable,,Good,Hardware,"Columbia Technologies, Inc.",23/01/2026 16:16,,NULL,,,,,,,,Both
"CSB Battery 12 Volts, 7AH",Battery,UPS123607,N/A19,1,Piece,Battery,,Good,Hardware,Express Technetronic Corporation,23/01/2026 16:19,,NULL,,,,,,,,Both
Ugreen CM506 50633A Wireless HDMI Extender (50M) Gray,HDMI,CM506 50633A,NULL,1,Piece,HDMI,,Good,Hardware,Jump Solutions Inc.,23/01/2026 16:24,,NULL,,,,,,,,Both
HP 26X Black Laserjet Toner Cartridge,Toner Cartridge,HPCF276X,NULL,1,Unit,Cartridge,,Good,Hardware,"Columbia Technologies, Inc.",23/01/2026 16:25,,NULL,,,,,,,,Both
Seagate 1TB One Touch Black USB3.0 HardDisk,Hard Disk,STKY1000400,NT1D4HLP,1,Monthly,Hard disk,,Good,Software/License,"Columbia Technologies, Inc.",27/01/2026 13:21,,NULL,,,,,27/01/2026,,,Invoice
Logitech H5703 Stereo Headset,Headset,H5703,2344ME007NN9,1,Piece,Headset,,Good,Hardware,Microphase Corporation,27/01/2026 15:49,,NULL,,,,,,,,Both
Logitech H570e Stereo Headset,Headset,H5703,2344ME007N49,0,Unit,Headset,,Good,Hardware,Microphase Corporation,27/01/2026 15:50,,NULL,,,,,,,,Both
Epson LX-310 Printer,Printer Dot Matrix,LX-310,Q7CYJ53070,1,Unit,Printer,,Good,Hardware,"Columbia Technologies, Inc.",29/01/2026 9:46,,Paranaque and Alabang Center,,,,,,,,Both
Epson LX-310 Printer,Printer Dot Matrix,LX-310,Q7CYJ57926,1,Unit,Printer,,Good,Hardware,"Columbia Technologies, Inc.",29/01/2026 9:46,,Paranaque and Alabang Center,,,,,,,,Both
HP LJ PRO 4003DN Printer SF Mono,Printer,4003DN,VNM0284307,1,Unit,Printer,,Good,Hardware,Microphase Corporation,30/01/2026 11:20,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch with Password USB 3.0 Black,Hard Drive,STKY 1000400,NC1D6VGP,1,Piece,Hard disk,,Good,Hardware,Microphase Corporation,30/01/2026 11:23,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4HXB,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4HXW,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4HXA,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4HXH,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4JGD,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4JED,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4JEF,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4JKQ,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4JEY,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4J96,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4JBL,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4JG6,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4JFZ,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4J9H,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4J9A,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
Seagate SGSTKY 1000400 1TB One Touch Black USB3.0 HardDisk,Hard Drive,SGSTKY 1000400,NT1D4JGL,1,Unit,Hard disk,,Good,Hardware,"Columbia Technologies, Inc.",30/01/2026 15:41,,NULL,,,,,,,,Both
